section,axis,coord,depth,height
y=0,x,-3.0,0.0,0.0
y=0,x,-2.95,0.0,0.0
y=0,x,-2.9000000000000004,0.0,0.0
y=0,x,-2.85,0.0,0.0
y=0,x,-2.8000000000000003,0.0,0.0
y=0,x,-2.75,0.0,0.0
y=0,x,-2.7,0.0,0.0
y=0,x,-2.6500000000000004,0.0,0.0
y=0,x,-2.6,0.0,0.0
y=0,x,-2.5500000000000003,0.0,0.0
y=0,x,-2.5,0.0,0.0
y=0,x,-2.45,0.0,0.0
y=0,x,-2.4000000000000004,0.0,0.0
y=0,x,-2.35,0.0,0.0
y=0,x,-2.3000000000000003,0.0,0.0
y=0,x,-2.25,0.0,0.0
y=0,x,-2.2,0.0,0.0
y=0,x,-2.15,0.0,0.0
y=0,x,-2.1,0.0,0.0
y=0,x,-2.0500000000000003,0.0,0.0
y=0,x,-2.0,0.0,0.0
y=0,x,-1.9500000000000002,0.0,0.0
y=0,x,-1.9000000000000001,0.0,0.0
y=0,x,-1.85,0.0,0.0
y=0,x,-1.8,0.0,0.0
y=0,x,-1.75,0.0,0.0
y=0,x,-1.7000000000000002,0.0,0.0
y=0,x,-1.6500000000000001,0.0,0.0
y=0,x,-1.6,0.0,0.0
y=0,x,-1.55,0.0,0.0
y=0,x,-1.5,0.0,0.0
y=0,x,-1.4500000000000002,0.0,0.0
y=0,x,-1.4000000000000001,0.0,0.0
y=0,x,-1.35,0.0,0.0
y=0,x,-1.3,0.0,0.0
y=0,x,-1.25,0.0,0.0
y=0,x,-1.2000000000000002,0.0,0.0
y=0,x,-1.1500000000000001,0.0,0.0
y=0,x,-1.1,0.0,0.0
y=0,x,-1.05,0.0,0.0
y=0,x,-1.0,0.0,0.0
y=0,x,-0.9500000000000001,0.9749999999999986,-0.9749999999999986
y=0,x,-0.9,1.899999999999999,-1.899999999999999
y=0,x,-0.8500000000000001,2.774999999999998,-2.774999999999998
y=0,x,-0.8,3.5999999999999988,-3.5999999999999988
y=0,x,-0.75,4.374999999999999,-4.374999999999999
y=0,x,-0.7000000000000001,5.099999999999998,-5.099999999999998
y=0,x,-0.65,5.774999999999999,-5.774999999999999
y=0,x,-0.6000000000000001,6.399999999999998,-6.399999999999998
y=0,x,-0.55,6.974999999999999,-6.974999999999999
y=0,x,-0.5,7.5,-7.5
y=0,x,-0.45,7.975,-7.975
y=0,x,-0.4,8.399999999999999,-8.399999999999999
y=0,x,-0.35000000000000003,8.774999999999999,-8.774999999999999
y=0,x,-0.30000000000000004,9.1,-9.1
y=0,x,-0.25,9.375,-9.375
y=0,x,-0.2,9.599999999999998,-9.599999999999998
y=0,x,-0.15000000000000002,9.774999999999999,-9.774999999999999
y=0,x,-0.1,9.899999999999999,-9.899999999999999
y=0,x,-0.05,9.975,-9.975
y=0,x,0.0,10.0,-10.0
y=0,x,0.05,9.975,-9.975
y=0,x,0.1,9.899999999999999,-9.899999999999999
y=0,x,0.15000000000000002,9.774999999999999,-9.774999999999999
y=0,x,0.2,9.599999999999998,-9.599999999999998
y=0,x,0.25,9.375,-9.375
y=0,x,0.30000000000000004,9.1,-9.1
y=0,x,0.35000000000000003,8.774999999999999,-8.774999999999999
y=0,x,0.4,8.399999999999999,-8.399999999999999
y=0,x,0.45,7.975,-7.975
y=0,x,0.5,7.5,-7.5
y=0,x,0.55,6.974999999999999,-6.974999999999999
y=0,x,0.6000000000000001,6.399999999999998,-6.399999999999998
y=0,x,0.65,5.774999999999999,-5.774999999999999
y=0,x,0.7000000000000001,5.099999999999998,-5.099999999999998
y=0,x,0.75,4.374999999999999,-4.374999999999999
y=0,x,0.8,3.5999999999999988,-3.5999999999999988
y=0,x,0.8500000000000001,2.774999999999998,-2.774999999999998
y=0,x,0.9,1.899999999999999,-1.899999999999999
y=0,x,0.9500000000000001,0.9749999999999986,-0.9749999999999986
y=0,x,1.0,0.0,0.0
y=0,x,1.05,0.0,0.0
y=0,x,1.1,0.0,0.0
y=0,x,1.1500000000000001,0.0,0.0
y=0,x,1.2000000000000002,0.0,0.0
y=0,x,1.25,0.0,0.0
y=0,x,1.3,0.0,0.0
y=0,x,1.35,0.0,0.0
y=0,x,1.4000000000000001,0.0,0.0
y=0,x,1.4500000000000002,0.0,0.0
y=0,x,1.5,0.0,0.0
y=0,x,1.55,0.0,0.0
y=0,x,1.6,0.0,0.0
y=0,x,1.6500000000000001,0.0,0.0
y=0,x,1.7000000000000002,0.0,0.0
y=0,x,1.75,0.0,0.0
y=0,x,1.8,0.0,0.0
y=0,x,1.85,0.0,0.0
y=0,x,1.9000000000000001,0.0,0.0
y=0,x,1.9500000000000002,0.0,0.0
y=0,x,2.0,0.0,0.0
y=0,x,2.0500000000000003,0.0,0.0
y=0,x,2.1,0.0,0.0
y=0,x,2.15,0.0,0.0
y=0,x,2.2,0.0,0.0
y=0,x,2.25,0.0,0.0
y=0,x,2.3000000000000003,0.0,0.0
y=0,x,2.35,0.0,0.0
y=0,x,2.4000000000000004,0.0,0.0
y=0,x,2.45,0.0,0.0
y=0,x,2.5,0.0,0.0
y=0,x,2.5500000000000003,0.0,0.0
y=0,x,2.6,0.0,0.0
y=0,x,2.6500000000000004,0.0,0.0
y=0,x,2.7,0.0,0.0
y=0,x,2.75,0.0,0.0
y=0,x,2.8000000000000003,0.0,0.0
y=0,x,2.85,0.0,0.0
y=0,x,2.9000000000000004,0.0,0.0
y=0,x,2.95,0.0,0.0
y=0,x,3.0,0.0,0.0
